m,d,h,Qsolar [W},Qcond [W],Qnet [kW]
6,1,0,0,-59287.68,-59.28768
6,1,1,0,-66687.36,-66.68736
6,1,2,0,-73274.88,-73.27488
6,1,3,2982.432,-79681.92,-76.699488
6,1,4,7201.152,-79501.44,-72.300288
6,1,5,9154.848,-70748.16,-61.593312
6,1,6,34561.92,-60460.8,-25.89888
6,1,7,73996.8,-50353.92,23.64288
6,1,8,107241.216,-42412.8,64.828416
6,1,9,131296.944,-37088.64,94.208304
6,1,10,142475.424,-33027.84,109.447584
6,1,11,140772.144,-29688.96,111.083184
6,1,12,126676.656,-27072,99.604656
6,1,13,99546,-25447.68,74.09832
6,1,14,63984.672,-24725.76,39.258912
6,1,15,24281.328,-25267.2,-0.985872
6,1,16,13578.864,-28515.84,-14.936976
6,1,17,8640.48,-35013.12,-26.37264
6,1,18,410.592,-41329.92,-40.919328
6,1,19,0,-46744.32,-46.74432
6,1,20,0,-51527.04,-51.52704
6,1,21,0,-55678.08,-55.67808
6,1,22,0,-62626.56,-62.62656
6,1,23,0,-75530.88,-75.53088
6,2,0,0,-82569.6,-82.5696
6,2,1,0,-86901.12,-86.90112
6,2,2,0,-92225.28,-92.22528
6,2,3,514.368,-94932.48,-94.418112
6,2,4,8848.032,-92496,-83.647968
6,2,5,10391.136,-83291.52,-72.900384
6,2,6,34710.816,-72101.76,-37.390944
6,2,7,73292.928,-57843.84,15.449088
6,2,8,105585.312,-45029.76,60.555552
6,2,9,128154.336,-35915.52,92.238816
6,2,10,132603.168,-27793.92,104.809248
6,2,11,136088.688,-22379.52,113.709168
6,2,12,119604.096,-19582.08,100.022016
6,2,13,93813.504,-18228.48,75.585024
6,2,14,63271.776,-19852.8,43.418976
6,2,15,29948.4,-22199.04,7.74936
6,2,16,9978.288,-26891.52,-16.913232
6,2,17,8229.888,-30591.36,-22.361472
6,2,18,514.368,-40066.56,-39.552192
6,2,19,0,-49271.04,-49.27104
6,2,20,0,-59738.88,-59.73888
6,2,21,0,-69575.04,-69.57504
6,2,22,0,-82659.84,-82.65984
6,2,23,0,-91954.56,-91.95456
6,3,0,0,-100978.56,-100.97856
6,3,1,0,-100256.64,-100.25664
6,3,2,0,-95473.92,-95.47392
6,3,3,514.368,-90781.44,-90.267072
6,3,4,1748.4,-85547.52,-83.79912
6,3,5,8024.592,-83562.24,-75.537648
6,3,6,11340.912,-80494.08,-69.153168
6,3,7,33530.928,-67589.76,-34.058832
6,3,8,22278,-67048.32,-44.77032
6,3,9,32269.824,-63168,-30.898176
6,3,10,22952.544,-53692.8,-30.740256
6,3,11,61478.256,-45210.24,16.268016
6,3,12,81299.472,-40066.56,41.232912
6,3,13,88782.624,-32396.16,56.386464
6,3,14,52463.28,-30501.12,21.96216
6,3,15,23694.768,-31493.76,-7.798992
6,3,16,11625.168,-35464.32,-23.839152
6,3,17,8333.664,-39886.08,-31.552416
6,3,18,719.664,-49271.04,-48.551376
6,3,19,0,-56129.28,-56.12928
6,3,20,0,-69484.8,-69.4848
6,3,21,0,-78599.04,-78.59904
6,3,22,0,-85728,-85.728
6,3,23,0,-92225.28,-92.22528
6,4,0,0,-97008,-97.008
6,4,1,0,-99805.44,-99.80544
6,4,2,0,-94210.56,-94.21056
6,4,3,3600.576,-96286.08,-92.685504
6,4,4,7920.816,-95383.68,-87.462864
6,4,5,10492.656,-77064.96,-66.572304
6,4,6,34216.752,-59738.88,-25.522128
6,4,7,72302.544,-43946.88,28.355664
6,4,8,96123.648,-33388.8,62.734848
6,4,9,105531.168,-26711.04,78.820128
6,4,10,121990.944,-19221.12,102.769824
6,4,11,114135.552,-15972.48,98.163072
6,4,12,105991.392,-11009.28,94.982112
6,4,13,63923.76,-8121.6,55.80216
6,4,14,61496.304,-2346.24,59.150064
6,4,15,32536.032,-2436.48,30.099552
6,4,16,9053.328,-1714.56,7.338768
6,4,17,8848.032,-5233.92,3.614112
6,4,18,1337.808,-19852.8,-18.514992
6,4,19,0,-40156.8,-40.1568
6,4,20,0,-50534.4,-50.5344
6,4,21,0,-57031.68,-57.03168
6,4,22,0,-60280.32,-60.28032
6,4,23,0,-61633.92,-61.63392
6,5,0,0,-64250.88,-64.25088
6,5,1,0,-67409.28,-67.40928
6,5,2,0,-69123.84,-69.12384
6,5,3,514.368,-68221.44,-67.707072
6,5,4,4218.72,-60370.56,-56.15184
6,5,5,4834.608,-51075.84,-46.241232
6,5,6,34755.936,-36817.92,-2.061984
6,5,7,66294.816,-12001.92,54.292896
6,5,8,26598.24,812.16,27.4104
6,5,9,66477.552,7219.2,73.696752
6,5,10,29030.208,15070.08,44.100288
6,5,11,57577.632,16784.64,74.362272
6,5,12,10801.728,18318.72,29.120448
6,5,13,18093.12,-360.96,17.73216
6,5,14,10801.728,-21747.84,-10.946112
6,5,15,14176.704,-24274.56,-10.097856
6,5,16,8126.112,-24455.04,-16.328928
6,5,17,2571.84,-23552.64,-20.9808
6,5,18,309.072,-28064.64,-27.755568
6,5,19,0,-41781.12,-41.78112
6,5,20,0,-47105.28,-47.10528
6,5,21,0,-50895.36,-50.89536
6,5,22,0,-53061.12,-53.06112
6,5,23,0,-56760.96,-56.76096
6,6,0,0,-59197.44,-59.19744
6,6,1,0,-62265.6,-62.2656
6,6,2,0,-64972.8,-64.9728
6,6,3,3395.28,-65153.28,-61.758
6,6,4,6790.56,-60551.04,-53.76048
6,6,5,9463.92,-49632,-40.16808
6,6,6,32353.296,-35915.52,-3.562224
6,6,7,70008.192,-23281.92,46.726272
6,6,8,92098.944,-13355.52,78.743424
6,6,9,124391.328,-4151.04,120.240288
6,6,10,131653.392,5053.44,136.706832
6,6,11,117034.512,12633.6,129.668112
6,6,12,100737.168,25267.2,126.004368
6,6,13,67249.104,22199.04,89.448144
6,6,14,53652.192,23913.6,77.565792
6,6,15,26449.344,24816,51.265344
6,6,16,16254.48,25537.92,41.7924
6,6,17,8435.184,16694.4,25.129584
6,6,18,2366.544,4151.04,6.517584
6,6,19,0,-14438.4,-14.4384
6,6,20,0,-24364.8,-24.3648
6,6,21,0,-32666.88,-32.66688
6,6,22,0,-39344.64,-39.34464
6,6,23,0,-44939.52,-44.93952
6,7,0,0,-48729.6,-48.7296
6,7,1,0,-53422.08,-53.42208
6,7,2,0,-56760.96,-56.76096
6,7,3,3600.576,-57392.64,-53.792064
6,7,4,7406.448,-49000.32,-41.593872
6,7,5,14916.672,-27072,-12.155328
6,7,6,35606.448,-8482.56,27.123888
6,7,7,69238.896,-2526.72,66.712176
6,7,8,89651.184,15070.08,104.721264
6,7,9,110983.92,27162.24,138.14616
6,7,10,20387.472,38622.72,59.010192
6,7,11,118895.712,45571.2,164.466912
6,7,12,113580.576,50083.2,163.663776
6,7,13,90639.312,50263.68,140.902992
6,7,14,7291.392,55046.4,62.337792
6,7,15,22607.376,54595.2,77.202576
6,7,16,3496.8,47195.52,50.69232
6,7,17,1439.328,32666.88,34.106208
6,7,18,1234.032,25537.92,26.771952
6,7,19,0,11731.2,11.7312
6,7,20,0,2526.72,2.52672
6,7,21,0,-2977.92,-2.97792
