m,d,h,Qsolar [W},Qcond [W],Q net [kW]
1,1,0,0,-17596.8,-17.5968
1,1,1,0,-17966.784,-17.966784
1,1,2,0,-18436.032,-18.436032
1,1,3,0,-18896.256,-18.896256
1,1,4,0,-19437.696,-19.437696
1,1,5,0,-20060.352,-20.060352
1,1,6,0,-20529.6,-20.5296
1,1,7,0,-20484.48,-20.48448
1,1,8,258.7632,-20033.28,-19.7745168
1,1,9,1213.728,-19112.832,-17.899104
1,1,10,1293.3648,-18463.104,-17.1697392
1,1,11,1114.2384,-18273.6,-17.1593616
1,1,12,636.8688,-18300.672,-17.6638032
1,1,13,179.1264,-18598.464,-18.4193376
1,1,14,0,-18860.16,-18.86016
1,1,15,0,-19049.664,-19.049664
1,1,16,0,-18968.448,-18.968448
1,1,17,0,-18842.112,-18.842112
1,1,18,0,-18778.944,-18.778944
1,1,19,0,-18562.368,-18.562368
1,1,20,0,-18607.488,-18.607488
1,1,21,0,-18833.088,-18.833088
1,1,22,0,-19437.696,-19.437696
1,1,23,0,-19717.44,-19.71744
1,2,0,0,-19852.8,-19.8528
1,2,1,0,-20006.208,-20.006208
1,2,2,0,-20096.448,-20.096448
1,2,3,0,-20457.408,-20.457408
1,2,4,0,-20673.984,-20.673984
1,2,5,0,-20854.464,-20.854464
1,2,6,0,-20764.224,-20.764224
1,2,7,0,-20493.504,-20.493504
1,2,8,2677.4208,-19906.944,-17.2295232
1,2,9,7237.248,-18995.52,-11.758272
1,2,10,6376.3584,-17921.664,-11.5453056
1,2,11,2837.8224,-17010.24,-14.1724176
1,2,12,2299.7664,-16450.752,-14.1509856
1,2,13,4608.5568,-16297.344,-11.6887872
1,2,14,0,-16920,-16.92
1,2,15,0,-17930.688,-17.930688
1,2,16,0,-18589.44,-18.58944
1,2,17,0,-19076.736,-19.076736
1,2,18,0,-19428.672,-19.428672
1,2,19,0,-19410.624,-19.410624
1,2,20,0,-19654.272,-19.654272
1,2,21,0,-19943.04,-19.94304
1,2,22,0,-20276.928,-20.276928
1,2,23,0,-20592.768,-20.592768
1,3,0,0,-20791.296,-20.791296
1,3,1,0,-20746.176,-20.746176
1,3,2,0,-20773.248,-20.773248
1,3,3,0,-20818.368,-20.818368
1,3,4,0,-20899.584,-20.899584
1,3,5,0,-20980.8,-20.9808
1,3,6,0,-21016.896,-21.016896
1,3,7,0,-20818.368,-20.818368
1,3,8,9435.9456,-20376.192,-10.9402464
1,3,9,2963.256,-19302.336,-16.33908
1,3,10,1174.0224,-18264.576,-17.0905536
1,3,11,915.2592,-17551.68,-16.6364208
1,3,12,1293.3648,-17064.384,-15.7710192
