y,m,d,h,G(i) [W/m2],H_sun,T_amb
2020,6,1,10,0,0,13.43
2020,6,1,110,0,0,12.61
2020,6,1,210,0,0,11.88
2020,6,1,310,13.22,5.53,11.17
2020,6,1,410,31.92,13.94,11.19
2020,6,1,510,40.58,22.92,12.16
2020,6,1,610,153.2,32.1,13.3
2020,6,1,710,328,41.11,14.42
2020,6,1,810,475.36,49.37,15.3
2020,6,1,910,581.99,55.99,15.89
2020,6,1,1010,631.54,59.61,16.34
2020,6,1,1110,623.99,59.05,16.71
2020,6,1,1210,561.51,54.53,17
2020,6,1,1310,441.25,47.39,17.18
2020,6,1,1410,283.62,38.87,17.26
2020,6,1,1510,107.63,29.77,17.2
2020,6,1,1610,60.19,20.6,16.84
2020,6,1,1710,38.3,11.74,16.12
2020,6,1,1810,1.82,3.52,15.42
2020,6,1,1910,0,0,14.82
2020,6,1,2010,0,0,14.29
2020,6,1,2110,0,0,13.83
2020,6,1,2210,0,0,13.06
2020,6,1,2310,0,0,11.63
2020,6,2,10,0,0,10.85
2020,6,2,110,0,0,10.37
2020,6,2,210,0,0,9.78
2020,6,2,310,2.28,5.62,9.48
2020,6,2,410,39.22,14.02,9.75
2020,6,2,510,46.06,22.99,10.77
2020,6,2,610,153.86,32.18,12.01
2020,6,2,710,324.88,41.19,13.59
2020,6,2,810,468.02,49.47,15.01
2020,6,2,910,568.06,56.1,16.02
2020,6,2,1010,587.78,59.73,16.92
2020,6,2,1110,603.23,59.19,17.52
2020,6,2,1210,530.16,54.67,17.83
2020,6,2,1310,415.84,47.52,17.98
2020,6,2,1410,280.46,38.99,17.8
2020,6,2,1510,132.75,29.89,17.54
2020,6,2,1610,44.23,20.73,17.02
2020,6,2,1710,36.48,11.87,16.61
2020,6,2,1810,2.28,3.65,15.56
2020,6,2,1910,0,0,14.54
2020,6,2,2010,0,0,13.38
2020,6,2,2110,0,0,12.29
2020,6,2,2210,0,0,10.84
2020,6,2,2310,0,0,9.81
2020,6,3,10,0,0,8.81
2020,6,3,110,0,0,8.89
2020,6,3,210,0,0,9.42
2020,6,3,310,2.28,5.7,9.94
2020,6,3,410,7.75,14.1,10.52
2020,6,3,510,35.57,23.06,10.74
2020,6,3,610,50.27,32.25,11.08
2020,6,3,710,148.63,41.27,12.51
2020,6,3,810,98.75,49.55,12.57
2020,6,3,910,143.04,56.2,13
2020,6,3,1010,101.74,59.85,14.05
2020,6,3,1110,272.51,59.32,14.99
2020,6,3,1210,360.37,54.8,15.56
2020,6,3,1310,393.54,47.64,16.41
2020,6,3,1410,232.55,39.11,16.62
2020,6,3,1510,105.03,30.01,16.51
2020,6,3,1610,51.53,20.85,16.07
2020,6,3,1710,36.94,11.99,15.58
2020,6,3,1810,3.19,3.77,14.54
2020,6,3,1910,0,0,13.78
2020,6,3,2010,0,0,12.3
2020,6,3,2110,0,0,11.29
2020,6,3,2210,0,0,10.5
2020,6,3,2310,0,0,9.78
2020,6,4,10,0,0,9.25
2020,6,4,110,0,0,8.94
2020,6,4,210,0,0,9.56
2020,6,4,310,15.96,5.77,9.33
2020,6,4,410,35.11,14.17,9.43
2020,6,4,510,46.51,23.13,11.46
2020,6,4,610,151.67,32.32,13.38
2020,6,4,710,320.49,41.34,15.13
2020,6,4,810,426.08,49.63,16.3
2020,6,4,910,467.78,56.29,17.04
2020,6,4,1010,540.74,59.97,17.87
2020,6,4,1110,505.92,59.44,18.23
2020,6,4,1210,469.82,54.92,18.78
2020,6,4,1310,283.35,47.76,19.1
2020,6,4,1410,272.59,39.23,19.74
2020,6,4,1510,144.22,30.13,19.73
2020,6,4,1610,40.13,20.96,19.81
2020,6,4,1710,39.22,12.1,19.42
2020,6,4,1810,5.93,3.89,17.8
2020,6,4,1910,0,0,15.55
2020,6,4,2010,0,0,14.4
2020,6,4,2110,0,0,13.68
2020,6,4,2210,0,0,13.32
2020,6,4,2310,0,0,13.17
2020,6,5,10,0,0,12.88
2020,6,5,110,0,0,12.53
2020,6,5,210,0,0,12.34
2020,6,5,310,2.28,5.84,12.44
2020,6,5,410,18.7,14.23,13.31
2020,6,5,510,21.43,23.19,14.34
2020,6,5,610,154.06,32.37,15.92
2020,6,5,710,293.86,41.4,18.67
2020,6,5,810,117.9,49.7,20.09
2020,6,5,910,294.67,56.38,20.8
2020,6,5,1010,128.68,60.07,21.67
2020,6,5,1110,255.22,59.56,21.86
2020,6,5,1210,47.88,55.04,22.03
2020,6,5,1310,80.2,47.88,19.96
2020,6,5,1410,47.88,39.34,17.59
2020,6,5,1510,62.84,30.24,17.31
2020,6,5,1610,36.02,21.07,17.29
2020,6,5,1710,11.4,12.22,17.39
2020,6,5,1810,1.37,4.01,16.89
2020,6,5,1910,0,0,15.37
2020,6,5,2010,0,0,14.78
2020,6,5,2110,0,0,14.36
2020,6,5,2210,0,0,14.12
2020,6,5,2310,0,0,13.71
2020,6,6,10,0,0,13.44
2020,6,6,110,0,0,13.1
2020,6,6,210,0,0,12.8
2020,6,6,310,15.05,5.91,12.78
2020,6,6,410,30.1,14.29,13.29
2020,6,6,510,41.95,23.24,14.5
2020,6,6,610,143.41,32.43,16.02
2020,6,6,710,310.32,41.46,17.42
2020,6,6,810,408.24,49.77,18.52
2020,6,6,910,551.38,56.46,19.54
2020,6,6,1010,583.57,60.18,20.56
2020,6,6,1110,518.77,59.67,21.4
2020,6,6,1210,446.53,55.15,22.8
2020,6,6,1310,298.09,47.99,22.46
2020,6,6,1410,237.82,39.45,22.65
2020,6,6,1510,117.24,30.34,22.75
2020,6,6,1610,72.05,21.18,22.83
2020,6,6,1710,37.39,12.33,21.85
2020,6,6,1810,10.49,4.12,20.46
2020,6,6,1910,0,0,18.4
2020,6,6,2010,0,0,17.3
2020,6,6,2110,0,0,16.38
2020,6,6,2210,0,0,15.64
2020,6,6,2310,0,0,15.02
2020,6,7,10,0,0,14.6
2020,6,7,110,0,0,14.08
2020,6,7,210,0,0,13.71
2020,6,7,310,15.96,5.96,13.64
2020,6,7,410,32.83,14.34,14.57
2020,6,7,510,66.12,23.29,17
2020,6,7,610,157.83,32.47,19.06
2020,6,7,710,306.91,41.51,19.72
2020,6,7,810,397.39,49.83,21.67
2020,6,7,910,491.95,56.54,23.01
2020,6,7,1010,90.37,60.27,24.28
2020,6,7,1110,527.02,59.78,25.05
2020,6,7,1210,503.46,55.26,25.55
2020,6,7,1310,401.77,48.09,25.57
2020,6,7,1410,32.32,39.55,26.1
2020,6,7,1510,100.21,30.44,26.05
2020,6,7,1610,15.5,21.28,25.23
