y,m,d,h,G(i) [W/m2],H_sun,T_amb,,,,
2020,1,1,:0010,0,0,2.5,,,,
2020,1,1,:0110,0,0,2.09,,,,
2020,1,1,:0210,0,0,1.57,,,,
2020,1,1,:0310,0,0,1.06,,,,
2020,1,1,:0410,0,0,0.46,,,,
2020,1,1,:0510,0,0,-0.23,,,,
2020,1,1,:0610,0,0,-0.75,,,,
2020,1,1,:0710,0,0,-0.7,,,,
2020,1,1,:0810,11.47,8.09,-0.2,,,,
2020,1,1,:0910,53.8,12.32,0.82,,,,
2020,1,1,:1010,57.33,14.5,1.54,,,,
2020,1,1,:1110,49.39,14.44,1.75,,,,
2020,1,1,:1210,28.23,12.13,1.72,,,,
2020,1,1,:1310,7.94,7.8,1.39,,,,
2020,1,1,:1410,0,0,1.1,,,,
2020,1,1,:1510,0,0,0.89,,,,
2020,1,1,:1610,0,0,0.98,,,,
2020,1,1,:1710,0,0,1.12,,,,
2020,1,1,:1810,0,0,1.19,,,,
2020,1,1,:1910,0,0,1.43,,,,
2020,1,1,:2010,0,0,1.38,,,,
2020,1,1,:2110,0,0,1.13,,,,
2020,1,1,:2210,0,0,0.46,,,,
2020,1,1,:2310,0,0,0.15,,,,
2020,1,2,:0010,0,0,0,,,,
2020,1,2,:0110,0,0,-0.17,,,,
2020,1,2,:0210,0,0,-0.27,,,,
2020,1,2,:0310,0,0,-0.67,,,,
2020,1,2,:0410,0,0,-0.91,,,,
2020,1,2,:0510,0,0,-1.11,,,,
2020,1,2,:0610,0,0,-1.01,,,,
2020,1,2,:0710,0,0,-0.71,,,,
2020,1,2,:0810,118.68,8.13,-0.06,,Median,Summer,Winter
2020,1,2,:0910,320.8,12.38,0.95,,,16.405,4.37
2020,1,2,:1010,282.64,14.58,2.14,,,,
2020,1,2,:1110,125.79,14.53,3.15,,,,
2020,1,2,:1210,101.94,12.24,3.77,,,,
2020,1,2,:1310,204.28,7.91,3.94,,,,
2020,1,2,:1410,0,0,3.25,,,,
2020,1,2,:1510,0,0,2.13,,,,
2020,1,2,:1610,0,0,1.4,,,,
2020,1,2,:1710,0,0,0.86,,,,
2020,1,2,:1810,0,0,0.47,,,,
2020,1,2,:1910,0,0,0.49,,,,
2020,1,2,:2010,0,0,0.22,,,,
2020,1,2,:2110,0,0,-0.1,,,,
2020,1,2,:2210,0,0,-0.47,,,,
2020,1,2,:2310,0,0,-0.82,,,,
2020,1,3,:0010,0,0,-1.04,,,,
2020,1,3,:0110,0,0,-0.99,,,,
2020,1,3,:0210,0,0,-1.02,,,,
2020,1,3,:0310,0,0,-1.07,,,,
2020,1,3,:0410,0,0,-1.16,,,,
2020,1,3,:0510,0,0,-1.25,,,,
2020,1,3,:0610,0,0,-1.29,,,,
2020,1,3,:0710,0,0,-1.07,,,,
2020,1,3,:0810,418.26,8.18,-0.58,,,,
2020,1,3,:0910,131.35,12.45,0.61,,,,
2020,1,3,:1010,52.04,14.66,1.76,,,,
2020,1,3,:1110,40.57,14.63,2.55,,,,
2020,1,3,:1210,57.33,12.36,3.09,,,,
2020,1,3,:1310,60.89,8.04,3.54,,,,
2020,1,3,:1410,0,0,3.18,,,,
2020,1,3,:1510,0,0,2.5,,,,
2020,1,3,:1610,0,0,2.23,,,,
2020,1,3,:1710,0,0,2.29,,,,
2020,1,3,:1810,0,0,2.55,,,,
2020,1,3,:1910,0,0,2.52,,,,
2020,1,3,:2010,0,0,2.75,,,,
2020,1,3,:2110,0,0,2.88,,,,
2020,1,3,:2210,0,0,3.06,,,,
2020,1,3,:2310,0,0,3.34,,,,
2020,1,4,:0010,0,0,3.84,,,,
2020,1,4,:0110,0,0,4.23,,,,
2020,1,4,:0210,0,0,4.69,,,,
2020,1,4,:0310,0,0,5.05,,,,
2020,1,4,:0410,0,0,5.18,,,,
2020,1,4,:0510,0,0,4.77,,,,
2020,1,4,:0610,0,0,3.94,,,,
2020,1,4,:0710,0,0,3.22,,,,
2020,1,4,:0810,184.44,8.24,3.13,,,,
2020,1,4,:0910,308.34,12.52,3.18,,,,
2020,1,4,:1010,505.5,14.76,3.33,,,,
2020,1,4,:1110,37.93,14.74,3.78,,,,
2020,1,4,:1210,120.9,12.48,3.99,,,,
2020,1,4,:1310,45.4,8.17,3.94,,,,
2020,1,4,:1410,0,0,3.8,,,,
2020,1,4,:1510,0,0,3.35,,,,
2020,1,4,:1610,0,0,2.82,,,,
2020,1,4,:1710,0,0,2.08,,,,
2020,1,4,:1810,0,0,1.38,,,,
2020,1,4,:1910,0,0,1.71,,,,
2020,1,4,:2010,0,0,1,,,,
2020,1,4,:2110,0,0,0.87,,,,
2020,1,4,:2210,0,0,0.76,,,,
2020,1,4,:2310,0,0,0.95,,,,
2020,1,5,:0010,0,0,1.07,,,,
2020,1,5,:0110,0,0,0.87,,,,
2020,1,5,:0210,0,0,0.65,,,,
2020,1,5,:0310,0,0,0.28,,,,
2020,1,5,:0410,0,0,0.3,,,,
2020,1,5,:0510,0,0,-0.03,,,,
2020,1,5,:0610,0,0,-0.32,,,,
2020,1,5,:0710,0,0,-0.55,,,,
2020,1,5,:0810,477.09,8.3,-0.23,,,,
2020,1,5,:0910,673.21,12.6,0.42,,,,
2020,1,5,:1010,732.78,14.86,1.17,,,,
2020,1,5,:1110,413.82,14.86,1.76,,,,
2020,1,5,:1210,538.23,12.61,2.14,,,,
2020,1,5,:1310,430.21,8.31,2.08,,,,
2020,1,5,:1410,0,0,1.51,,,,
2020,1,5,:1510,0,0,0.66,,,,
2020,1,5,:1610,0,0,-0.19,,,,
2020,1,5,:1710,0,0,-0.85,,,,
2020,1,5,:1810,0,0,-1.32,,,,
2020,1,5,:1910,0,0,-1.91,,,,
2020,1,5,:2010,0,0,-2.35,,,,
2020,1,5,:2110,0,0,-2.88,,,,
2020,1,5,:2210,0,0,-3.21,,,,
2020,1,5,:2310,0,0,-3.13,,,,
2020,1,6,:0010,0,0,-3.07,,,,
2020,1,6,:0110,0,0,-2.85,,,,
2020,1,6,:0210,0,0,-2.24,,,,
2020,1,6,:0310,0,0,-1.78,,,,
2020,1,6,:0410,0,0,-1.44,,,,
2020,1,6,:0510,0,0,-1.09,,,,
2020,1,6,:0610,0,0,-0.8,,,,
2020,1,6,:0710,1.76,2.34,-0.48,,,,
2020,1,6,:0810,30.87,8.37,-0.1,,,,
2020,1,6,:0910,145.86,12.69,0.21,,,,
2020,1,6,:1010,55.57,14.96,0.5,,,,
2020,1,6,:1110,29.99,14.98,0.76,,,,
2020,1,6,:1210,32.64,12.74,1.05,,,,
2020,1,6,:1310,29.11,8.45,1.23,,,,
2020,1,6,:1410,4.03,2.45,1.18,,,,
2020,1,6,:1510,0,0,1.07,,,,
2020,1,6,:1610,0,0,0.95,,,,
2020,1,6,:1710,0,0,0.92,,,,
2020,1,6,:1810,0,0,0.72,,,,
2020,1,6,:1910,0,0,0.52,,,,
2020,1,6,:2010,0,0,0.51,,,,
2020,1,6,:2110,0,0,0.46,,,,
2020,1,6,:2210,0,0,0.21,,,,
2020,1,6,:2310,0,0,0.03,,,,
2020,1,7,:0010,0,0,0.07,,,,
2020,1,7,:0110,0,0,0.12,,,,
2020,1,7,:0210,0,0,-0.11,,,,
2020,1,7,:0310,0,0,-0.28,,,,
2020,1,7,:0410,0,0,-0.21,,,,
2020,1,7,:0510,0,0,-0.43,,,,
2020,1,7,:0610,0,0,-0.95,,,,
2020,1,7,:0710,4.41,2.4,-0.75,,,,
2020,1,7,:0810,152.59,8.45,-0.47,,,,
2020,1,7,:0910,226.94,12.79,-0.04,,,,
2020,1,7,:1010,513.97,15.08,0.44,,,,
2020,1,7,:1110,178.52,15.11,1.08,,,,
2020,1,7,:1210,51.16,12.89,1.28,,,,
2020,1,7,:1310,29.11,8.6,1.36,,,,
2020,1,7,:1410,1.76,2.61,0.78,,,,
2020,1,7,:1510,0,0,-0.32,,,,
2020,1,7,:1610,0,0,-1.34,,,,
2020,1,7,:1710,0,0,-2.09,,,,
2020,1,7,:1810,0,0,-2.03,,,,
2020,1,7,:1910,0,0,-2.18,,,,
2020,1,7,:2010,0,0,-2.19,,,,
2020,1,7,:2110,0,0,-2.29,,,,
2020,1,7,:2210,0,0,-1.99,,,,
2020,1,7,:2310,0,0,-1.44,,,,
2020,1,8,:0010,0,0,-1.16,,,,
2020,1,8,:0110,0,0,-0.39,,,,
2020,1,8,:0210,0,0,-0.01,,,,
2020,1,8,:0310,0,0,0.42,,,,
2020,1,8,:0410,0,0,0.83,,,,
2020,1,8,:0510,0,0,1.25,,,,
2020,1,8,:0610,0,0,1.61,,,,
2020,1,8,:0710,3.53,2.47,1.91,,,,
2020,1,8,:0810,397.2,8.53,2.4,,,,
2020,1,8,:0910,327.91,12.89,3.13,,,,
2020,1,8,:1010,573.36,15.2,3.88,,,,
2020,1,8,:1110,492.48,15.25,4.48,,,,
2020,1,8,:1210,440.42,13.04,4.75,,,,
2020,1,8,:1310,69.58,8.76,4.74,,,,
2020,1,8,:1410,4.41,2.77,4.51,,,,
2020,1,8,:1510,0,0,4.44,,,,
2020,1,8,:1610,0,0,4.34,,,,
2020,1,8,:1710,0,0,3.95,,,,
2020,1,8,:1810,0,0,4,,,,
2020,1,8,:1910,0,0,4.27,,,,
2020,1,8,:2010,0,0,4.42,,,,
2020,1,8,:2110,0,0,4.54,,,,
2020,1,8,:2210,0,0,4.71,,,,
2020,1,8,:2310,0,0,4.84,,,,
2020,1,9,:0010,0,0,4.98,,,,
2020,1,9,:0110,0,0,5.09,,,,
2020,1,9,:0210,0,0,5.16,,,,
2020,1,9,:0310,0,0,5.23,,,,
2020,1,9,:0410,0,0,5.29,,,,
2020,1,9,:0510,0,0,5.34,,,,
2020,1,9,:0610,0,0,5.36,,,,
2020,1,9,:0710,3.53,2.55,5.13,,,,
2020,1,9,:0810,31.75,8.62,5.26,,,,
2020,1,9,:0910,120.02,13,5.41,,,,
2020,1,9,:1010,47.63,15.33,5.57,,,,
2020,1,9,:1110,59.1,15.4,5.8,,,,
2020,1,9,:1210,131.27,13.19,5.96,,,,
2020,1,9,:1310,9.7,8.92,5.93,,,,
2020,1,9,:1410,4.41,2.93,5.86,,,,
2020,1,9,:1510,0,0,5.8,,,,
2020,1,9,:1610,0,0,5.78,,,,
2020,1,9,:1710,0,0,5.75,,,,
2020,1,9,:1810,0,0,5.68,,,,
2020,1,9,:1910,0,0,5.82,,,,
